file_path,file_name,file_type,category,description,source_or_derived,related_manuscript_item,source_script_or_origin,upstream_data_dependency,license_notes,include_in_figshare
README.md,README.md,Markdown,package_metadata,Top-level description of the figshare research-data package.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
registry/README.md,README.md,Markdown,registry,Registry folder guide.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
external_validation/README.md,README.md,Markdown,external_validation,External validation redistribution note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
mpra_variant_effect/README.md,README.md,Markdown,mpra_variant_effect,MPRA redistribution note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
synthetic_benchmark/README.md,README.md,Markdown,synthetic_benchmark,GenomeCF-Synth package note.,derived,Package documentation,package_src/genomecf/figshare_data.py,none,Derived package metadata; upstream datasets retain original licenses and terms.,yes
registry/benchmark_registry.csv,benchmark_registry.csv,tabular text,registry,Canonical row-level benchmark registry.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
registry/benchmark_registry.jsonl,benchmark_registry.jsonl,JSON,registry,JSONL version of the canonical benchmark registry.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
registry/benchmark_summary.csv,benchmark_summary.csv,tabular text,registry,Derived benchmark summary table.,derived,Supplementary Data / Registry,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Data_Dictionary.csv,Data_Dictionary.csv,tabular text,source_data,Column dictionary for the manuscript source-data package.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/panel_definitions.csv,panel_definitions.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig1/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/fig2_tradeoff_points.csv,fig2_tradeoff_points.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig2/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/fig3_foundation_comparison.csv,fig3_foundation_comparison.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig3/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/fig4_external_assay_family_summary.csv,fig4_external_assay_family_summary.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/fig4_external_prediction_model_fits.csv,fig4_external_prediction_model_fits.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/fig4_external_prediction_points.csv,fig4_external_prediction_points.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig4/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig5/fig5_mpra_case_studies.csv,fig5_mpra_case_studies.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig5/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig5/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig5/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig5/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig6/fig6_genomecf_synth.csv,fig6_genomecf_synth.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig6/metadata.json,metadata.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig6/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig6/source_registry_rows.csv,source_registry_rows.csv,tabular text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/Fig6/source_script.txt,source_script.txt,plain text,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/GenomeCF_Source_Data.xlsx,GenomeCF_Source_Data.xlsx,Excel workbook,source_data,Workbook containing source data for all main manuscript figures.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/manifest.json,manifest.json,JSON,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
source_data/README.md,README.md,Markdown,source_data,Source data supporting main manuscript display items.,derived,Main figures,source_data generated by genomecf build-submission-data,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/external_validation_summary.csv,external_validation_summary.csv,tabular text,release_summaries,External validation summary by task/model/configuration.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/external_validation_family_summary.csv,external_validation_family_summary.csv,tabular text,release_summaries,External assay-family summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/external_transfer_prediction.csv,external_transfer_prediction.csv,tabular text,release_summaries,Point-level external transfer prediction inputs.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/external_transfer_stats.json,external_transfer_stats.json,JSON,release_summaries,External transfer prediction statistics.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/mitigation_summary.csv,mitigation_summary.csv,tabular text,release_summaries,Mitigation summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/chromosome_cv_summary.csv,chromosome_cv_summary.csv,tabular text,release_summaries,Chromosome cross-validation summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/chromosome_cv_fold_metrics.csv,chromosome_cv_fold_metrics.csv,tabular text,release_summaries,Per-fold chromosome cross-validation metrics.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/matched_negative_model_summary.csv,matched_negative_model_summary.csv,tabular text,release_summaries,Matched-negative model summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/matched_negative_confounders.csv,matched_negative_confounders.csv,tabular text,release_summaries,Matched-negative confounder summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/gc_bin_summary.csv,gc_bin_summary.csv,tabular text,release_summaries,GC-bin robustness summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/real_motif_probe_summary.csv,real_motif_probe_summary.csv,tabular text,release_summaries,Real-task motif probe summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/real_task_motif_disruption.csv,real_task_motif_disruption.csv,tabular text,release_summaries,Real-task motif disruption outputs.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/synthetic_extended_summary.csv,synthetic_extended_summary.csv,tabular text,release_summaries,GenomeCF-Synth summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/biological_case_study.csv,biological_case_study.csv,tabular text,release_summaries,MPRA biological case-study summary.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/model_task_matrix.csv,model_task_matrix.csv,tabular text,release_summaries,Model-task coverage matrix.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/validation_report.json,validation_report.json,JSON,release_summaries,Release validation report.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
release_summaries/reporting_check_report.json,reporting_check_report.json,JSON,release_summaries,Reporting-check checklist output.,derived,Release summaries,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_case_study_results.csv,appendix_case_study_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_case_study_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_chrom_folds.csv,appendix_chrom_folds.csv,tabular text,publication_tables,Publication-facing derived table appendix_chrom_folds.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_chromosome_cv_folds.csv,appendix_chromosome_cv_folds.csv,tabular text,publication_tables,Publication-facing derived table appendix_chromosome_cv_folds.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_chromosome_cv_summary.csv,appendix_chromosome_cv_summary.csv,tabular text,publication_tables,Publication-facing derived table appendix_chromosome_cv_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_confounders.csv,appendix_confounders.csv,tabular text,publication_tables,Publication-facing derived table appendix_confounders.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_external_gc_bin_by_bin.csv,appendix_external_gc_bin_by_bin.csv,tabular text,publication_tables,Publication-facing derived table appendix_external_gc_bin_by_bin.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_external_gc_bin_summary.csv,appendix_external_gc_bin_summary.csv,tabular text,publication_tables,Publication-facing derived table appendix_external_gc_bin_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_external_prediction_robustness.csv,appendix_external_prediction_robustness.csv,tabular text,publication_tables,Publication-facing derived table appendix_external_prediction_robustness.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_external_prediction_summary.csv,appendix_external_prediction_summary.csv,tabular text,publication_tables,Publication-facing derived table appendix_external_prediction_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_external_validation_results.csv,appendix_external_validation_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_external_validation_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_gc_bin_by_bin.csv,appendix_gc_bin_by_bin.csv,tabular text,publication_tables,Publication-facing derived table appendix_gc_bin_by_bin.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_gc_bin_summary.csv,appendix_gc_bin_summary.csv,tabular text,publication_tables,Publication-facing derived table appendix_gc_bin_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_gc_only.csv,appendix_gc_only.csv,tabular text,publication_tables,Publication-facing derived table appendix_gc_only.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_matched_negative_confounders.csv,appendix_matched_negative_confounders.csv,tabular text,publication_tables,Publication-facing derived table appendix_matched_negative_confounders.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_matched_negative_results.csv,appendix_matched_negative_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_matched_negative_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_mitigation_results.csv,appendix_mitigation_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_mitigation_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_real_motif_results.csv,appendix_real_motif_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_real_motif_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_real_results.csv,appendix_real_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_real_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_shortcut_score_by_task.csv,appendix_shortcut_score_by_task.csv,tabular text,publication_tables,Publication-facing derived table appendix_shortcut_score_by_task.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_shortcut_score_summary.csv,appendix_shortcut_score_summary.csv,tabular text,publication_tables,Publication-facing derived table appendix_shortcut_score_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_synthetic_extended.csv,appendix_synthetic_extended.csv,tabular text,publication_tables,Publication-facing derived table appendix_synthetic_extended.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/appendix_synthetic_results.csv,appendix_synthetic_results.csv,tabular text,publication_tables,Publication-facing derived table appendix_synthetic_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table10_case_study_summary.csv,table10_case_study_summary.csv,tabular text,publication_tables,Publication-facing derived table table10_case_study_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table1_task_overview.csv,table1_task_overview.csv,tabular text,publication_tables,Publication-facing derived table table1_task_overview.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table2_main_results.csv,table2_main_results.csv,tabular text,publication_tables,Publication-facing derived table table2_main_results.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table3_cv_summary.csv,table3_cv_summary.csv,tabular text,publication_tables,Publication-facing derived table table3_cv_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table4_matched_negative_summary.csv,table4_matched_negative_summary.csv,tabular text,publication_tables,Publication-facing derived table table4_matched_negative_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table5_mitigation_summary.csv,table5_mitigation_summary.csv,tabular text,publication_tables,Publication-facing derived table table5_mitigation_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table6_gc_bin_summary.csv,table6_gc_bin_summary.csv,tabular text,publication_tables,Publication-facing derived table table6_gc_bin_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table7_motif_summary.csv,table7_motif_summary.csv,tabular text,publication_tables,Publication-facing derived table table7_motif_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table8_external_validation_summary.csv,table8_external_validation_summary.csv,tabular text,publication_tables,Publication-facing derived table table8_external_validation_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
publication_tables/table9_external_prediction_summary.csv,table9_external_prediction_summary.csv,tabular text,publication_tables,Publication-facing derived table table9_external_prediction_summary.csv.,derived,Main paper / Supplementary tables,results/publication,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_validation_summary.csv,external_validation_summary.csv,tabular text,external_validation,External validation task-level summary.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_validation_family_summary.csv,external_validation_family_summary.csv,tabular text,external_validation,External validation family-level summary.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_transfer_prediction.csv,external_transfer_prediction.csv,tabular text,external_validation,External prediction point summary.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_transfer_stats.json,external_transfer_stats.json,JSON,external_validation,External prediction statistics and model fits.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_core_profile.csv,external_core_profile.csv,tabular text,external_validation,Core-profile summary paired with external outputs.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_prediction_robustness.csv,external_prediction_robustness.csv,tabular text,external_validation,External prediction robustness summary.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_gc_bin_summary.csv,external_gc_bin_summary.csv,tabular text,external_validation,External GC-bin summary.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
external_validation/external_gc_bin_by_bin.csv,external_gc_bin_by_bin.csv,tabular text,external_validation,External GC-bin by-bin metrics.,derived,Fig. 4 / External validation,results/release,none,Derived GenomeCF output; upstream datasets retain original licenses and terms.,yes
mpra_variant_effect/mpra_bcl11a_enhancer__caduceus_ph__official__matched_negative_retraining__none__seed2026_summary.csv,mpra_bcl11a_enhancer__caduceus_ph__official__matched_negative_retraining__none__seed2026_summary.csv,tabular text,mpra_variant_effect,Derived MPRA variant-effect summary or GC-bin table.,derived,Fig. 5 / MPRA variant-effect,results/release/variant_effect,MaveDB / MPRA upstream assays (not redistributed as raw data),Derived GenomeCF output; upstream assay data retain original licenses and terms.,yes
mpra_variant_effect/mpra_bcl11a_enhancer__caduceus_ph__official__standard__none__seed2026_summary.csv,mpra_bcl11a_enhancer__caduceus_ph__official__standard__none__seed2026_summary.csv,tabular text,mpra_variant_effect,Derived MPRA variant-effect summary or GC-bin table.,derived,Fig. 5 / MPRA variant-effect,results/release/variant_effect,MaveDB / MPRA upstream assays (not redistributed as raw data),Derived GenomeCF output; upstream assay data retain original licenses and terms.,yes
