task_id,split_id,model_id,task_label,model_label,auroc,ece,brier,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_explainability_ratio,gc_only_auroc_official,gc_only_auroc_matched
human_enhancers_cohn,matched_test,caduceus_ph,Enhancers (Cohn),Caduceus-Ph,0.6933720391822946,0.0734663712760024,0.2161438481596369,-0.1024097724562637,-0.020609886437731,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,caduceus_ph,Enhancers (Cohn),Caduceus-Ph,0.7727349710937637,0.0342800785565275,0.1945990957555004,-0.1025229935421168,-0.0205491437594516,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,dnabert2,Enhancers (Cohn),DNABERT-2,0.7831267930428194,0.059579344910046,0.1848134137109928,-0.0408819016889659,0.0280310177057119,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,dnabert2,Enhancers (Cohn),DNABERT-2,0.832364,0.0177455895021824,0.1673960058282947,-0.0773962200148066,0.010910567835066,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,gc_only,Enhancers (Cohn),GC-only logistic regression,0.6392853233794811,0.0687737820620118,0.2309419571875778,0.0,0.0,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,gc_only,Enhancers (Cohn),GC-only logistic regression,0.7339186999468708,0.0111692881865568,0.2081144388447765,0.0,0.0,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,kmer_logistic_regression,Enhancers (Cohn),6-mer logistic regression,0.6843793945812884,0.2490119017790831,0.2889201660699905,-0.1047314240068123,0.0906788775459468,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,kmer_logistic_regression,Enhancers (Cohn),6-mer logistic regression,0.7198406022334183,0.2230066818417645,0.2707056624242893,-0.0989740670455717,0.091787624018841,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,small_cnn,Enhancers (Cohn),CNN,0.6727535557712438,0.0735889895597068,0.2229237478693353,-0.0064048767089843,0.0148357152938842,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,small_cnn,Enhancers (Cohn),CNN,0.7500055101321802,0.0371965014267976,0.2040775067168555,0.0250227451324462,0.0054828524589538,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,small_cnn_rc_aug,Enhancers (Cohn),RC-aug CNN,0.6960452054698972,0.0805212842399963,0.2170083911056838,0.0156245827674865,0.013296902179718,,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,small_cnn_rc_aug,Enhancers (Cohn),RC-aug CNN,0.7556242706325035,0.0348070410043258,0.2021991418807238,-0.0198650956153869,0.0038124918937683,,0.7339186999468708,0.6392853233794811
human_enhancers_ensembl,matched_test,caduceus_ph,Enhancers (Ensembl),Caduceus-Ph,0.651955332291049,0.1030044723596689,0.2287701178758195,-0.0319772709983091,-0.0098021732581925,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,caduceus_ph,Enhancers (Ensembl),Caduceus-Ph,0.717767235241454,0.0432965822595281,0.2168543161810468,-0.0316648146657818,-0.0094850690250444,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,dnabert2,Enhancers (Ensembl),DNABERT-2,0.7737994844343186,0.0758359340748385,0.1878472687933616,0.0915853242569819,0.0344420638140309,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,dnabert2,Enhancers (Ensembl),DNABERT-2,0.775216,0.0271078423685805,0.1936904636088807,0.0428744396754445,0.0094690798395876,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,gc_only,Enhancers (Ensembl),GC-only logistic regression,0.5762459509875886,0.1082923933034039,0.245467903519882,0.0,0.0,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,gc_only,Enhancers (Ensembl),GC-only logistic regression,0.6621940822250412,0.0479150442144485,0.2341792451384895,0.0,0.0,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,kmer_logistic_regression,Enhancers (Ensembl),6-mer logistic regression,0.7593236576453896,0.1962377893145113,0.2370312764374812,0.2089985176153785,0.2530326547895289,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,kmer_logistic_regression,Enhancers (Ensembl),6-mer logistic regression,0.77841407034149,0.1749851512872763,0.2264123666961022,0.2017212876810611,0.2559971038650067,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,small_cnn,Enhancers (Ensembl),CNN,0.8639492309933446,0.0658570079464245,0.1501667934035749,0.3755265176296234,0.1556836366653442,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,small_cnn,Enhancers (Ensembl),CNN,0.8813083374924372,0.0527439798164991,0.1442527707458303,0.3898816108703613,0.1748238801956176,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,matched_test,small_cnn_rc_aug,Enhancers (Ensembl),RC-aug CNN,0.8699805307143664,0.0943775647410921,0.1529730330759661,0.3657114505767822,0.1686581373214721,,0.6621940822250412,0.5762459509875886
human_enhancers_ensembl,official,small_cnn_rc_aug,Enhancers (Ensembl),RC-aug CNN,0.8873414740211788,0.0341607557387747,0.1376008266144307,0.365414559841156,0.172886312007904,,0.6621940822250412,0.5762459509875886
human_nontata_promoters,matched_test,caduceus_ph,Promoters,Caduceus-Ph,0.7930966698713839,0.1034601828821221,0.1782318953243604,-0.0613841856528585,0.0017935210177151,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,caduceus_ph,Promoters,Caduceus-Ph,0.8528062767459534,0.0244592582419492,0.1538127081494769,-0.0604816577373737,0.0015758352155724,,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,dnabert2,Promoters,DNABERT-2,0.8969018682985945,0.0800153009605318,0.1273694035889256,-0.0386095512852275,0.0214562803830032,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,dnabert2,Promoters,DNABERT-2,0.9125409999999998,0.0392262811798141,0.1105972206908814,-0.0365259862505489,0.0177622250859168,,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,gc_only,Promoters,GC-only logistic regression,0.711853645370015,0.1219092582164688,0.2097392941292906,0.0,0.0,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,gc_only,Promoters,GC-only logistic regression,0.7959149681512145,0.0468308784576099,0.184770311891784,0.0,0.0,,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,kmer_logistic_regression,Promoters,6-mer logistic regression,0.9114448318820636,0.1132410287033531,0.1309519108164429,-0.0075775025331438,0.0578999551199419,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,kmer_logistic_regression,Promoters,6-mer logistic regression,0.915893668944032,0.0951845669593212,0.1210874280562841,-0.0129744038757426,0.0493131205192509,,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,small_cnn,Promoters,CNN,0.8731631457185094,0.1283946448606528,0.1575190505892078,-0.0590898990631103,0.0417549014091491,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,small_cnn,Promoters,CNN,0.8914828115842595,0.024325025384804,0.1291793261704815,-0.0340018272399902,0.0491634607315063,,0.7959149681512145,0.711853645370015
human_nontata_promoters,matched_test,small_cnn_rc_aug,Promoters,RC-aug CNN,0.8740163954464744,0.0871857975770044,0.1464505511844472,-0.0680538415908813,0.0305289030075073,,0.7959149681512145,0.711853645370015
human_nontata_promoters,official,small_cnn_rc_aug,Promoters,RC-aug CNN,0.9014160366927252,0.061482461035344,0.1244126061041274,-0.0656256675720214,0.0284047722816467,,0.7959149681512145,0.711853645370015
