claim_id,paper_location,claim_text,source_table,source_registry_rows,script,metric,value,ci,validated
C001,paper/main_or_supplement,caduceus_enhancer_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,caduceus_enhancer_auroc,0.7727349710937637,,True
C002,paper/main_or_supplement,caduceus_promoter_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,caduceus_promoter_auroc,0.8528062767459534,,True
C003,paper/main_or_supplement,caduceus_promoter_rc_instability,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,caduceus_promoter_rc_instability,0.0404262294153215,,True
C004,paper/main_or_supplement,case_bcl11a_temp_auprc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,case_bcl11a_temp_auprc,0.1666166501555553,,True
C005,paper/main_or_supplement,case_bcl11a_temp_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,case_bcl11a_temp_auroc,0.5825206855791961,,True
C006,paper/main_or_supplement,case_bcl11a_temp_topk_enrichment,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,case_bcl11a_temp_topk_enrichment,2.056451612903226,,True
C007,paper/main_or_supplement,case_myc_dnabert_spearman,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,case_myc_dnabert_spearman,0.1053415152420848,,True
C008,paper/main_or_supplement,case_myc_dnabert_topk_enrichment,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,case_myc_dnabert_topk_enrichment,1.934042553191489,,True
C009,paper/main_or_supplement,dnabert_enhancer_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,dnabert_enhancer_auroc,0.829724,,True
C010,paper/main_or_supplement,dnabert_enhancer_mono_shuffle_drop,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,dnabert_enhancer_mono_shuffle_drop,-0.048888688524904,,True
C011,paper/main_or_supplement,external_auroc_vs_reliability_spearman,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_auroc_vs_reliability_spearman,0.21471441337022792,,True
C012,paper/main_or_supplement,external_full_profile_advantage_ci_high,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_advantage_ci_high,0.5145493217912405,,True
C013,paper/main_or_supplement,external_full_profile_advantage_ci_low,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_advantage_ci_low,0.18174012816986054,,True
C014,paper/main_or_supplement,external_full_profile_advantage_delta_r2,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_advantage_delta_r2,0.32113855624435206,,True
C015,paper/main_or_supplement,external_full_profile_r2,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_r2,0.3828453974599544,,True
C016,paper/main_or_supplement,external_full_profile_r2_ci_high,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_r2_ci_high,0.5642315135660869,,True
C017,paper/main_or_supplement,external_full_profile_r2_ci_low,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_full_profile_r2_ci_low,0.2628916352444744,,True
C018,paper/main_or_supplement,external_pair_count,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_pair_count,82,,True
C019,paper/main_or_supplement,external_shortcut_vs_reliability_spearman,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_shortcut_vs_reliability_spearman,0.07690238291646789,,True
C020,paper/main_or_supplement,external_shortcut_vs_reliability_spearman_ci_high,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_shortcut_vs_reliability_spearman_ci_high,0.2711396466296953,,True
C021,paper/main_or_supplement,external_shortcut_vs_reliability_spearman_ci_low,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,external_shortcut_vs_reliability_spearman_ci_low,-0.12940333568246104,,True
C022,paper/main_or_supplement,matched_promoter_gc_only_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,matched_promoter_gc_only_auroc,0.711853645370015,,True
C023,paper/main_or_supplement,official_promoter_gc_only_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,official_promoter_gc_only_auroc,0.7959149681512145,,True
C024,paper/main_or_supplement,promoter_dnabert_gc_gap,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_dnabert_gc_gap,0.2621939610925163,,True
C025,paper/main_or_supplement,promoter_dnabert_worst_gc_bin_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_dnabert_worst_gc_bin_auroc,0.7178393745557925,,True
C026,paper/main_or_supplement,promoter_kmer_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_kmer_auroc,0.8984909999999999,,True
C027,paper/main_or_supplement,promoter_kmer_rc_instability,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_kmer_rc_instability,0.2634432589752333,,True
C028,paper/main_or_supplement,promoter_rc_aug_rc_instability,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_rc_aug_rc_instability,0.0165502354502677,,True
C029,paper/main_or_supplement,promoter_rc_aug_temperature_ece_after,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_rc_aug_temperature_ece_after,0.0300379513092338,,True
C030,paper/main_or_supplement,promoter_rc_aug_temperature_ece_before,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,promoter_rc_aug_temperature_ece_before,0.061482461035344,,True
C031,paper/main_or_supplement,synthetic_gc_conflict_dnabert_rule_rate,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_conflict_dnabert_rule_rate,0.0,,True
C032,paper/main_or_supplement,synthetic_gc_conflict_dnabert_shortcut_rate,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_conflict_dnabert_shortcut_rate,1.0,,True
C033,paper/main_or_supplement,synthetic_gc_correlated_auroc,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_correlated_auroc,1.0,,True
C034,paper/main_or_supplement,synthetic_gc_correlated_motif_drop,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_correlated_motif_drop,0.0003598318935633,,True
C035,paper/main_or_supplement,synthetic_gc_matched_mono_drop,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_matched_mono_drop,0.9463044927016124,,True
C036,paper/main_or_supplement,synthetic_gc_matched_motif_drop,results/publication/key_numbers.json,registry-backed publication artifacts,src/generate_publication_artifacts.py,synthetic_gc_matched_motif_drop,0.6748301988936416,,True
P_main_pdf,availability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_report.pdf,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_report.pdf,,,main_pdf,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_report.pdf,,True
P_supplement_pdf,availability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_supplement.pdf,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_supplement.pdf,,,supplement_pdf,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\paper\genomecf_supplement.pdf,,True
P_website_index,availability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\docs\site\index.html,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\docs\site\index.html,,,website_index,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\docs\site\index.html,,True
